Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Liablities
SOLAN,Rajesh Kashyap,BJP,0,Post Graduate,54,"3,08,31,786","19,17,716"
SOLAN,Shashi Kant Chauhan,IND,0,8th Pass,32,"22,70,481","1,50,000"
KASAULI,Keshav Kumar,Swabhiman Party,0,5th Pass,35,"50,25,000","20,00,000"
KASAULI,Rajeev Kumar Kaundal,IND, 1 ,Graduate Professional,36,"17,12,203",0
KASAULI,Rajiv Saizal,BJP,0,Graduate Professional,46,"77,09,500","3,31,745"
KASAULI,Vinod Sultanpuri,INC,0,Graduate Professional,35,"4,08,18,476","3,22,053"
KASAULI,Virender Kumar Kashyap,CPI,0,12th Pass,32,"2,47,050",0
CHINTPURNI,Balbir Singh,BJP, 1 ,Graduate,54,"4,54,11,401","5,17,66,017"
CHINTPURNI,Kuldip Kumar,INC,0,Graduate,67,"2,36,63,487","39,63,174"
CHINTPURNI,Ranjit Singh,BSP,0,Graduate,60,"64,42,439","1,02,000"
GAGRET,Lekh Raj Katnoria,BSP,0,10th Pass,53,"6,80,000","2,00,000"
GAGRET,Rajesh Thakur,BJP,0,Graduate,52,"20,83,71,632","35,40,066"
GAGRET,Rakesh Kalia,INC,0,Graduate,49,"18,96,00,646","6,09,71,027"
GAGRET,Subhash Sharma,IND,0,Graduate Professional,68,"41,56,460","19,700"
HAROLI,Mukesh Agnihotri,INC,0,Graduate,55,"7,75,07,137","16,15,278"
HAROLI,Ram Kumar,BJP,0,Post Graduate,48,"76,85,653",0
HAROLI,Ravinder Pal Singh Mann,IND,0,Graduate Professional,34,"29,54,546",0
HAROLI,Virender Kumar,BSP,0,Graduate,35,"3,61,455",0
UNA,Gulzar Singh,IND,0,8th Pass,65,"32,52,000","4,50,000"
UNA,Rajiv Gautam,IND,0,Graduate Professional,37,"18,30,90,291","12,61,140"
UNA,Ravi Kumar,BSP,0,8th Pass,27,"1,07,999",0
UNA,Satpal Singh Raizada,INC,0,10th Pass,47,"8,96,37,432","5,29,63,667"
UNA,Satpal Singh Satti,BJP,0,Post Graduate,53,"3,14,22,977","12,46,674"
